year,opponent,venue,result,UM_score,opp_score,date,time
1942,Ohio State,Away,L,7,21,Nov 21 (Sat),
1942,Iowa,Home,W,28,14,Nov 28 (Sat),
1941,Michigan State,Home,W,19,7,Sep 27 (Sat),
1941,Iowa,Home,W,6,0,Oct 4 (Sat),
1941,Pittsburgh,Home,W,40,0,Oct 11 (Sat),
1941,Northwestern,Away,W,14,7,Oct 18 (Sat),
1941,Minnesota (HC),Home,L,0,7,Oct 25 (Sat),
1941,Illinois,Away,W,20,0,Nov 1 (Sat),
1941,Columbia,Away,W,28,0,Nov 15 (Sat),
1941,Ohio State,Home,T,20,20,Nov 22 (Sat),
1940,California,Away,W,41,0,Sep 28 (Sat),
1940,Michigan State,Home,W,21,14,Oct 5 (Sat),
1940,Harvard,Away,W,26,0,Oct 12 (Sat),
1940,Illinois (HC),Home,W,28,0,Oct 19 (Sat),
1940,Penn,Home,W,14,0,Oct 26 (Sat),
1940,Minnesota,Away,L,6,7,Nov 9 (Sat),
1940,Northwestern,Home,W,20,13,Nov 16 (Sat),
1940,Ohio State,Away,W,40,0,Nov 23 (Sat),
1939,Michigan State,Home,W,26,13,Oct 7 (Sat),
1939,Iowa,Home,W,27,7,Oct 14 (Sat),
1939,Chicago,Away,W,85,0,Oct 21 (Sat),
1939,Yale (HC),Home,W,27,7,Oct 28 (Sat),
1939,Illinois,Away,L,7,16,Nov 4 (Sat),
1939,Minnesota,Home,L,7,20,Nov 11 (Sat),
1939,Pennsylvania,Away,W,19,17,Nov 18 (Sat),
1939,Ohio State,Home,W,21,14,Nov 25 (Sat),
1938,Michigan State,Home,W,14,0,Oct 1 (Sat),
1938,Chicago,Home,W,45,7,Oct 8 (Sat),
1938,Minnesota,Away,L,6,7,Oct 15 (Sat),
1938,Yale,Away,W,15,13,Oct 22 (Sat),
1938,Illinois (HC),Home,W,14,0,Oct 29 (Sat),
1938,Penn,Home,W,19,13,Nov 5 (Sat),
1938,Northwestern,Home,T,0,0,Nov 12 (Sat),
1938,Ohio State,Away,W,18,0,Nov 19 (Sat),
1937,Michigan State,Home,L,14,19,Oct 2 (Sat),
1937,Northwestern,Away,L,0,7,Oct 9 (Sat),
1937,Minnesota (HC),Home,L,6,39,Oct 16 (Sat),
1937,Iowa,Away,W,7,6,Oct 23 (Sat),
1937,Illinois,Away,W,7,6,Oct 30 (Sat),
1937,Chicago,Home,W,13,12,Nov 6 (Sat),
1937,Penn,Away,W,7,0,Nov 13 (Sat),
1937,Ohio State,Home,L,0,21,Nov 20 (Sat),
1936,Michigan State,Home,L,7,21,Oct 3 (Sat),
1936,Indiana,Home,L,3,14,Oct 10 (Sat),
1936,Minnesota,Away,L,0,26,Oct 17 (Sat),
1936,Columbia,Home,W,13,0,Oct 24 (Sat),
1936,Illinois (HC),Home,L,6,9,Oct 31 (Sat),
1936,Penn,Away,L,7,27,Nov 7 (Sat),
1936,Northwestern,Home,L,0,9,Nov 14 (Sat),
1936,Ohio State,Away,L,0,21,Nov 21 (Sat),
1935,Michigan State,Home,L,6,25,Oct 5 (Sat),
1935,Indiana,Home,W,7,0,Oct 12 (Sat),
1935,Wisconsin,Away,W,20,12,Oct 19 (Sat),
1935,Columbia,Away,W,19,7,Oct 26 (Sat),
1935,Penn (HC),Home,W,16,6,Nov 2 (Sat),
1935,Illinois,Away,L,0,3,Nov 9 (Sat),
1935,Minnesota,Home,L,0,40,Nov 16 (Sat),
1935,Ohio State,Home,L,0,38,Nov 23 (Sat),
1934,Michigan State,Home,L,0,16,Oct 6 (Sat),
1934,Chicago,Away,L,0,27,Oct 13 (Sat),
1934,Georgia Tech,Home,W,9,2,Oct 20 (Sat),
1934,Illinois (HC),Home,L,6,7,Oct 27 (Sat),
1934,Minnesota,Away,L,0,34,Nov 3 (Sat),
1934,Wisconsin,Home,L,0,10,Nov 10 (Sat),
1934,Ohio State,Away,L,0,34,Nov 17 (Sat),
1934,Northwestern,Home,L,6,13,Nov 24 (Sat),
1933,Michigan State,Home,W,20,6,Oct 7 (Sat),
1933,Cornell,Home,W,40,0,Oct 14 (Sat),
1933,Ohio State (HC),Home,W,13,0,Oct 21 (Sat),
1933,Chicago,Away,W,28,0,Oct 28 (Sat),
1933,Illinois,Away,W,7,6,Nov 4 (Sat),
1933,Iowa,Home,W,10,6,Nov 11 (Sat),
1933,Minnesota,Home,T,0,0,Nov 18 (Sat),
1933,Northwestern,Away,W,13,10,Nov 25 (Sat),
1932,Michigan State,Home,W,26,0,Oct 1 (Sat),
1932,Northwestern,Home,W,15,6,Oct 8 (Sat),
1932,Ohio State,Away,W,14,0,Oct 15 (Sat),
1932,Illinois,Home,W,32,0,Oct 22 (Sat),
1932,Princeton (HC),Home,W,14,7,Oct 29 (Sat),
1932,Indiana,Away,W,7,0,Nov 5 (Sat),
1932,Chicago,Home,W,12,0,Nov 12 (Sat),
1932,Minnesota,Away,W,3,0,Nov 19 (Sat),
1931,Central State Teachers,Home,W,27,0,Oct 3 (Sat),
1931,Michigan Normal,Home,W,34,0,Oct 3 (Sat),
1931,Chicago,Home,W,13,7,Oct 10 (Sat),
1931,Ohio State,Home,L,7,20,Oct 17 (Sat),
1931,Illinois,Away,W,35,0,Oct 24 (Sat),
1931,Princeton,Away,W,21,0,Oct 31 (Sat),
1931,Indiana,Home,W,22,0,Nov 7 (Sat),
1931,Michigan State,Home,T,0,0,Nov 14 (Sat),
1931,Minnesota (HC),Home,W,6,0,Nov 21 (Sat),
1931,Wisconsin,Home,W,16,0,Nov 28 (Sat),
1930,Denison,Home,W,33,0,Sep 27 (Sat),
1930,Michigan Normal,Home,W,7,0,Sep 27 (Sat),
1930,Michigan State,Home,T,0,0,Oct 4 (Sat),
1930,Purdue,Home,W,14,13,Oct 11 (Sat),
1930,Ohio State,Away,W,13,0,Oct 18 (Sat),
1930,Illinois (HC),Home,W,15,7,Oct 25 (Sat),
1930,Harvard,Away,W,6,3,Nov 8 (Sat),
1930,Minnesota,Home,W,7,0,Nov 15 (Sat),
1930,Chicago,Home,W,16,0,Nov 22 (Sat),
1929,Mount Union,Home,W,16,6,Sep 28 (Sat),
1929,Albion,Home,W,39,0,Sep 28 (Sat),
1929,Michigan State,Home,W,17,0,Oct 5 (Sat),
1929,Purdue,Away,L,16,30,Oct 12 (Sat),
1929,Ohio State,Home,L,0,7,Oct 19 (Sat),
1929,Illinois,Away,L,0,14,Oct 26 (Sat),
1929,Harvard (HC),Home,W,14,12,Nov 9 (Sat),
1929,Minnesota,Away,W,7,6,Nov 16 (Sat),
1929,Iowa,Home,T,0,0,Nov 23 (Sat),
1928,Ohio Wesleyan,Home,L,7,17,Oct 6 (Sat),
1928,Indiana,Home,L,0,6,Oct 13 (Sat),
1928,Ohio State,Away,L,7,19,Oct 20 (Sat),
1928,Wisconsin,Home,L,0,7,Oct 27 (Sat),
1928,Illinois,Home,W,3,0,Nov 3 (Sat),
1928,Navy,,T,6,6,Nov 10 (Sat),
1928,Michigan State,Home,W,3,0,Nov 17 (Sat),
1928,Iowa (HC),Home,W,10,7,Nov 24 (Sat),
1927,Ohio Wesleyan,Home,W,33,0,Oct 1 (Sat),
1927,Michigan State,Home,W,21,0,Oct 8 (Sat),
1927,Wisconsin,Away,W,14,0,Oct 15 (Sat),
1927,Ohio State,Home,W,21,0,Oct 22 (Sat),
1927,Illinois,Away,L,0,14,Oct 29 (Sat),
1927,Chicago,Away,W,14,0,Nov 5 (Sat),
1927,Navy,Home,W,27,12,Nov 12 (Sat),
1927,Minnesota (HC),Home,L,7,13,Nov 19 (Sat),
1926,Oklahoma A&M,Home,W,42,3,Oct 2 (Sat),
1926,Michigan State,Home,W,55,3,Oct 9 (Sat),
1926,Minnesota,Home,W,20,0,Oct 16 (Sat),
1926,Illinois (HC),Home,W,13,0,Oct 23 (Sat),
1926,Navy,,L,0,10,Oct 30 (Sat),
1926,Wisconsin,Home,W,37,0,Nov 6 (Sat),
1926,Ohio State,Away,W,17,16,Nov 13 (Sat),
1926,Minnesota,Away,W,7,6,Nov 20 (Sat),
1925,Michigan State,Home,W,39,0,Oct 3 (Sat),
1925,Indiana,Home,W,63,0,Oct 10 (Sat),
1925,Wisconsin,Away,W,21,0,Oct 17 (Sat),
1925,Illinois,Away,W,3,0,Oct 24 (Sat),
1925,Navy,Home,W,54,0,Oct 31 (Sat),
1925,Northwestern,,L,2,3,Nov 7 (Sat),
1925,Ohio State,Home,W,10,0,Nov 14 (Sat),
1925,Minnesota (HC),Home,W,35,0,Nov 21 (Sat),
1924,Miami (Ohio),Home,W,55,0,Oct 4 (Sat),
1924,Michigan Agricultural,Away,W,7,0,Oct 10 (Fri),
1924,Illinois,Away,L,14,39,Oct 18 (Sat),
1924,Wisconsin,Home,W,21,0,Oct 25 (Sat),
1924,Minnesota,Away,W,13,0,Nov 1 (Sat),
1924,Northwestern,Home,W,27,0,Nov 8 (Sat),
1924,Ohio State,Away,W,16,6,Nov 15 (Sat),
1924,Iowa (HC),Home,L,2,9,Nov 22 (Sat),
